Data:,,,,,Planta 1,,,,,,,,,,,,Planta 2,,,,,,,,,,,,Planta 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazenda:,Tratamento,Parcela,RAMO,NÓ,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,Tratamentos,Parcelas,,Fazenda,,Réplica 1 (Parcela),,,,,,,,,,,Réplica 2 (Parcela),,,,,,,,,,,Réplica 3 (Parcela),,,,,,,,,,,Réplica 4 (Parcela),,,,,,,,,,,,,,,,,,
Felipe,T1,1,Dir.,1,,3,4,,,,,,,,,,,4,3,,,,,,,,,,,3,4,,,,,,,,,,T1,T1 – 5 mg/planta (200 ml) de Harvista => 125 mg em 5 L,1-7-13-19,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,,,,,,
,,,,2,,,5,1,,,,,,,,,,2,,5,,,,,,,,,,,,8,,,,,,,,,T2,T2 – 10 mg/planta (200 ml) de Harvista => 250 mg em 5 L,2-8-14-20,,,T1,5,19,51,16,5,19,39,0,0,0,0,10,31,29,15,0,9,95,0,0,0,0,12,45,44,3,1,11,13,0,0,0,0,10,46,39,10,0,11,7,0,0,0,0,,,,,,,,
,,,,3,,1,1,,,2,12,,,,,,,,,,5,,4,,,,,,,,,1,,4,8,,,,,,T3,T3 – 15 mg/planta (200 ml) de Harvista => 375 mg em 5 L,3-9-15-21,,,T2,17,36,54,8,1,3,32,0,0,0,0,5,40,40,5,0,2,93,0,0,0,0,16,51,24,5,5,9,41,0,0,0,0,9,40,30,5,2,26,56,0,0,0,0,,,,,,,,
,,,Esq.,1,1,2,4,,,,,,,,,,2,2,4,,,,,,,,,,1,,6,1,,,,,,,,,T4,T4 – 20 mg/planta (200 ml) de Harvista => 500 mg em 5 L,4-10-16-22,,,T3,12,44,57,7,0,7,13,0,0,0,0,12,30,44,12,1,10,60,0,0,0,0,13,50,36,6,0,7,72,0,0,0,0,6,35,39,4,0,10,116,0,0,0,0,,,,,,,,
,,,,2,1,2,5,,,,,,,,,,,,5,,,,2,,,,,,,,2,,,4,,,,,,,T5,T5 – 25 mg/planta (200 ml) de Harvista => 625 mg em 5 L,5-11-17-23,,,T4,16,25,24,3,1,20,65,4,0,0,0,16,35,46,6,0,10,43,0,0,0,0,10,39,45,12,0,6,44,0,0,0,0,9,59,32,7,5,10,23,0,0,0,0,,,,,,,,
,,,,3,,,3,,,3,8,,,,,,,,,,,3,5,,,,,,,,5,,,3,,,,,,,T6,T6 – Testemunha (Nada),6-12-18-24,,,T5,18,25,28,2,0,16,58,0,0,0,0,6,29,55,17,1,2,29,0,0,0,0,8,42,28,14,0,20,59,0,0,0,0,10,57,25,16,0,4,58,0,0,0,0,,,,,,,,
,T2,2,Dir.,1,2,6,,,,,,,,,,,4,2,,,,,,,,,,,1,1,3,,,,,,,,,,,,,,,T6,13,41,56,4,0,6,20,0,0,0,0,14,32,28,5,0,13,93,0,0,0,0,9,36,36,4,0,14,39,0,0,0,0,4,43,21,4,0,14,132,0,0,0,0,,,,,,,,
,,,,2,,3,5,,,,,,,,,,2,,5,,,,,,,,,,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,2,6,,,,,,,,,,,7,,,,,,,,,,,2,3,1,,,4,,,,,,,,,,Fazenda,,Stages,,,,,,,,,,,Geral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,3,1,2,,,,,,,,,,1,4,2,,,,,,,,,,1,6,,,,,,,,,,,,,,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,Rep.,Veg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,,6,,,,,,,,,,,7,1,1,,,,,,,,,,2,5,,,,,,,,,,,,,,,T1,37,141,163,44,6,50,154,0,0,0,0,595,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,1,,16,,,,,,,,8,,,,,,,,,,,,,,,3,12,,,,,,,,,,,T2,47,167,148,23,8,40,222,0,0,0,0,655,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T3,3,Dir.,1,3,5,,,,,,,,,,,6,,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,,T3,43,159,176,29,1,34,261,0,0,0,0,703,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,4,4,,,,,,,,,,1,6,3,,,,,,,,,,1,4,2,,,,,,,,,,,,,,,T4,51,158,147,28,6,46,175,4,0,0,0,615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,7,,,,,,,,,,,2,4,1,,,,,,,,,,3,,5,,,,,,,,,,,,,,T5,42,153,136,49,1,42,204,0,0,0,0,627,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,6,,,,,,,,,,,,2,5,,,,5,,,,,,,6,,,,,,,,,,,,,,,,T6,40,152,141,17,0,47,284,0,0,0,0,681,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,1,5,,,,,,,,,,,1,7,,,,4,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,7,,,,,,,,,,,,6,1,,,,,,,,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T4,4,Dir.,1,2,4,,,,,,,,,,,3,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,1,5,,,,,,,,,,2,1,4,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,2,,,,1,7,,,,,,,,,2,,4,4,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
