,,,,,Planta 1,,,,,,,,,,Planta 2,,,,,,,,,,Planta 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,S1 - flor,,,Fruto,,,,,,,S1 - flor,,,Fruto,,,,,,,S1 - flor,,,Fruto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazenda,Tratamento,BLOCO,RAMO,NÓ,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,RV,,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,RV,,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,RV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicente,T1,1,Dir.,1,,,32,,,,,,,,6,3,9,8,,,,,,,1,,33,6,,,,,,,,Tratamentos,Parcelas,,,Réplica 1 (Parcela),,,,,,,,,,Réplica 2 (Parcela),,,,,,,,,,Réplica 3 (Parcela),,,,,,,,,,Réplica 4 (Parcela),,,,,,,,,,,
,,,,2,,,31,,,,,,,,1,,8,17,,,,,,,,,,22,,,,,,,T1,T1 – 5 mg/planta (200 ml) de Harvista => 125 mg em 5 L,1-7-13-19,,Tratam.,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,,
,,,,3,,,,21,,,,,,,,,14,7,,,,,,,,,6,9,,,,,,,T2,T2 – 10 mg/planta (200 ml) de Harvista => 250 mg em 5 L,2-8-14-20,,T1,8,3,254,176,0,0,0,0,430,0,0,0,190,320,0,0,0,3,513,0,0,0,9,243,0,0,0,0,252,0,0,0,9,277,0,0,0,5,291,0,,
,,,Esq.,1,,,30,,,,,,,,,,29,,,,,,,,,,18,2,,,,,,,T3,T3 – 15 mg/planta (200 ml) de Harvista => 375 mg em 5 L,3-9-15-21,,T2,0,0,169,262,0,0,0,0,431,0,0,0,83,220,0,0,0,0,303,0,0,0,3,310,0,0,0,0,313,0,0,0,189,183,0,0,0,0,372,0,,
,,,,2,,,18,1,,,,,,,,,21,7,,,,,,,,,5,18,,,,,,,T4,T4 – 20 mg/planta (200 ml) de Harvista => 500 mg em 5 L,4-10-16-22,,T3,0,0,115,210,0,0,0,0,325,0,0,0,113,219,0,0,0,0,332,0,0,0,6,294,0,0,0,0,300,0,0,0,2,332,0,0,0,0,334,0,,
,,,,3,,,,25,,,,,,,,,,20,,,,,,,,,,13,,,,,,,T5,T5 – 25 mg/planta (200 ml) de Harvista => 625 mg em 5 L,5-11-17-23,,T4,0,0,125,74,0,0,0,0,199,0,0,0,202,181,0,0,0,0,383,0,0,0,0,299,0,0,0,0,299,0,0,0,4,274,0,0,0,0,278,0,,
,T2,2,Dir.,1,,,50,,,,,,,,,,,8,,,,,,,,,25,9,,,,,,,T6,T6 – Testemunha (Nada),6-12-18-24,,T5,0,0,65,196,0,0,0,0,261,0,0,0,169,106,0,0,0,0,275,0,0,0,0,367,0,0,0,0,367,0,0,0,5,296,0,0,0,2,303,0,,
,,,,2,,,11,22,,,,,,,,,,14,,,,,,,,,,32,,,,,,,,,,,T6,0,0,143,208,0,0,0,0,351,0,0,0,217,199,0,0,0,0,416,0,0,0,7,364,0,0,0,1,372,0,0,0,7,242,0,0,0,0,249,0,,
,,,,3,,,,22,,,,,,,,,,5,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,24,,,,,,,,,,3,7,,,,,,,,,24,8,,,,,,,,,,,,Stages,,,,,,,,,,Geral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,30,,,,,,,,,,4,,,,,,,,,2,32,,,,,,,,,,,Tratam.,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,Rep.,Veg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,30,4,,,,,,,,,,3,,,,,,,,,,27,,,,,,,,,,,T1,8,3,462,1016,0,0,0,8,1486,0,2983,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T3,3,Dir.,1,,,30,,,,,,,,,,,17,,,,,,,,,31,3,,,,,,,,,,,T2,0,0,444,975,0,0,0,0,1419,0,2838,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,32,,,,,,,,,4,20,,,,,,,,,,15,,,,,,,,,,,T3,0,0,236,1055,0,0,0,0,1291,0,2582,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,18,,,,,,,,,,15,,,,,,,,,,16,,,,,,,,,,,T4,0,0,331,828,0,0,0,0,1159,0,2318,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,9,,,,,,,,,19,2,,,,,,,,,11,,,,,,,,,,,,T5,0,0,239,965,0,0,0,2,1206,0,2412,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,12,,,,,,,,,,8,,,,,,,,,7,6,,,,,,,,,,,T6,0,0,374,1013,0,0,0,1,1388,0,2776,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,25,,,,,,,,,7,3,,,,,,,,,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T4,4,Dir.,1,,,7,,,,,,,,,,7,4,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,,,6,5,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,5,,,,,,,,,5,5,,,,,,,,,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,18,,,,,,,,,,4,8,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,14,,,,,,,,,,1,4,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,5,,,,,,,,,,,18,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T5,5,Dir.,1,,,,9,,,,,,,,,,31,,,,,,,,,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,17,,,,,,,,,,6,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,3,7,,,,,,,,,,12,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,22,8,,,,,,,,,7,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,26,,,,,,,,,1,10,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,8,,,,,,,,,13,5,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
