Data:,,,,,Planta 1,,,,,,,,,,,,Planta 2,,,,,,,,,,,,Planta 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazenda:,Tratamento,Parcela,RAMO,NÓ,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,Tratamentos,Parcelas,,Fazenda,,Réplica 1 (Parcela),,,,,,,,,,,Réplica 2 (Parcela),,,,,,,,,,,Réplica 3 (Parcela),,,,,,,,,,,Réplica 4 (Parcela),,,,,,,,,,,,,,,,,,
Vicente,T1,1,Dir.,1,,,,1,,1,3,,16,,,,,,,,,2,1,,36,,,,,,,,,,,,38,,,,T1,T1 – 5 mg/planta (200 ml) de Harvista => 125 mg em 5 L,1-7-13-19,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,,,,,,,,
,,,,2,,,,2,,,,,44,,,,,,,,,1,,,45,,,,,,,,,,,,52,,,,T2,T2 – 10 mg/planta (200 ml) de Harvista => 250 mg em 5 L,2-8-14-20,,,T1,0,0,0,6,0,4,4,4,700,0,0,0,0,0,0,0,0,11,0,719,40,0,0,0,0,0,0,0,2,0,533,4,0,0,0,0,0,0,0,0,0,305,182,0,,,,,,,,
,,,,3,,,,,,,,,45,,,,,,,,,,,,45,,,,,,,,,,,,47,,,,T3,T3 – 15 mg/planta (200 ml) de Harvista => 375 mg em 5 L,3-9-15-21,,,T2,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,1,2,1,0,762,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,705,2,0,,,,,,,,
,,,Esq.,1,,,,3,,,,,43,,,,,,,,,,,,45,,,,,,,,,,,4,30,,,,T4,T4 – 20 mg/planta (200 ml) de Harvista => 500 mg em 5 L,4-10-16-22,,,T3,0,0,0,0,0,0,0,0,783,3,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,5,0,0,465,4,0,0,0,0,0,0,0,2,0,476,53,0,,,,,,,,
,,,,2,,,,,,,,,30,,,,,,,,,,,,42,,,,,,,,,,,,40,,,,T5,T5 – 25 mg/planta (200 ml) de Harvista => 625 mg em 5 L,5-11-17-23,,,T4,0,0,0,0,0,0,0,0,519,5,0,0,0,0,0,0,1,0,0,916,0,0,0,0,0,0,0,1,3,0,439,8,0,0,0,0,0,0,0,3,0,411,76,0,,,,,,,,
,,,,3,,,,,,,,,36,,,,,,,,,,,,36,,,,,,,,,,,,30,,,,T6,T6 – Testemunha (Nada),6-12-18-24,,,T5,0,0,0,0,0,0,0,0,599,7,0,0,0,0,0,0,0,1,0,778,0,0,0,0,0,0,1,0,0,0,541,5,0,0,0,0,0,0,0,0,0,426,82,0,,,,,,,,
,T2,2,Dir.,1,,,,,,,,,65,,,,,,,,,,,,17,,,,,,,,,,,,56,,,,,,,,,T6,0,0,0,0,0,0,4,0,746,9,0,0,0,0,0,0,6,4,0,798,0,0,0,0,0,0,0,0,1,0,522,21,0,0,0,0,0,0,0,4,0,381,73,0,,,,,,,,
,,,,2,,,,,,,,,44,,,,,,,,,,,,28,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,60,,,,,,,,,,,,16,,,,,,,,,,,,57,,,,,,,,Fazenda,,Stages,,,,,,,,,,,Geral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,,,,,,50,,,,,,,,,,,,24,,,,,,,,,,,,50,,,,,,,,Vicente,Tratam.,S1,S2,S3,S4,S5,S6,Flor,Star,Chum.,Fruto,RV,Rep.,Veg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,45,,,,,,,,,,,,8,,,,,,,,,,,,45,,,,,,,,,T1,0,0,0,6,0,4,17,4,2257,226,0,2514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
