,,,,,Planta 1,,,,,,,,,,Planta 2,,,,,,,,,,Planta 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,S1 - flor,,,Fruto,,,,,,,S1 - flor,,,Fruto,,,,,,,S1 - flor,,,Fruto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazenda,Tratamento,BLOCO,RAMO,NÓ,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,RV,,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,RV,,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,RV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe,T1,1,Dir.,1,,,,15,,,,,,,,,,22,,,,,,,,,,10,,,,,,,,Tratamentos,Parcelas,,,Réplica 1 (Parcela),,,,,,,,,,Réplica 2 (Parcela),,,,,,,,,,Réplica 3 (Parcela),,,,,,,,,,Réplica 4 (Parcela),,,,,,,,,,,
,,,,2,,,,12,,,,,,,,,,17,,,,,,,,,,7,,,,,,,T1,T1 – 5 mg/planta (200 ml) de Harvista => 125 mg em 5 L,1-7-13-19,,Tratam.,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,,
,,,,3,,,,16,,,,,,,,,,13,,,,,,,,,,10,,,,,,,T2,T2 – 10 mg/planta (200 ml) de Harvista => 250 mg em 5 L,2-8-14-20,,T1,0,0,0,249,0,0,0,0,249,0,0,0,0,134,0,0,0,11,145,0,0,0,8,137,0,0,0,3,148,0,0,0,0,185,0,0,0,11,196,0,,
,,,Esq.,1,,,,11,,,,,,,,,,14,,,,,,,,,,15,,,,,,,T3,T3 – 15 mg/planta (200 ml) de Harvista => 375 mg em 5 L,3-9-15-21,,T2,0,0,0,199,0,0,0,1,200,0,0,0,0,196,0,0,0,1,197,0,0,0,2,138,0,0,0,8,148,0,0,0,11,140,0,0,0,7,158,0,,
,,,,2,,,,8,,,,,,,,,,7,,,,,,,,,,22,,,,,,,T4,T4 – 20 mg/planta (200 ml) de Harvista => 500 mg em 5 L,4-10-16-22,,T3,0,0,6,117,0,0,0,0,123,0,0,0,0,154,0,0,0,6,160,0,0,0,5,160,0,0,0,17,182,0,0,0,0,110,0,0,0,4,114,0,,
,,,,3,,,,20,,,,,,,,,,16,,,,,,,,,,14,,,,,,,T5,T5 – 25 mg/planta (200 ml) de Harvista => 625 mg em 5 L,5-11-17-23,,T4,0,0,4,106,0,0,0,0,110,0,0,0,0,200,0,0,0,5,205,0,0,0,4,278,0,0,0,0,282,0,0,0,0,133,0,0,0,3,136,0,,
,T2,2,Dir.,1,,,,10,,,,,,,,,,10,,,,,,,,,,12,,,,,,,T6,T6 – Testemunha (Nada),6-12-18-24,,T5,0,0,5,74,0,0,0,6,85,0,0,0,10,144,0,0,0,10,164,0,0,0,0,163,0,0,0,4,167,0,0,0,0,123,0,0,0,5,128,0,,
,,,,2,,,,11,,,,,,,,,,10,,,,1,,,,,,10,,,,,,,,,,,T6,0,0,0,158,0,0,0,2,160,0,0,0,0,170,0,0,0,10,180,0,0,0,0,195,0,0,0,8,203,0,0,0,0,154,0,0,0,9,163,0,,
,,,,3,,,,17,,,,,,,,,,11,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,7,,,,,,,,,,10,,,,,,,,,,8,,,,,,,,,,,,Stages,,,,,,,,,,Geral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,7,,,,,,,,,,16,,,,,,,,,,13,,,,,,,,,,,Tratam.,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,Rep.,Veg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,15,,,,,,,,,,9,,,,,,,,,,13,,,,,,,,,,,T1,0,0,8,705,0,0,0,25,738,0,1476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T3,3,Dir.,1,,,,14,,,,,,,,,6,5,,,,,,,,,,6,,,,,,,,,,,T2,0,0,13,673,0,0,0,17,703,0,1406,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,11,,,,,,,,,,16,,,,,,,,,,3,,,,,,,,,,,T3,0,0,11,541,0,0,0,27,579,0,1158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,13,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,T4,0,0,8,717,0,0,0,8,733,0,1466,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,7,,,,,,,,,,3,,,,,,,,,,8,,,,,,,,,,,T5,0,0,15,504,0,0,0,25,544,0,1088,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,1,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,T6,0,0,0,677,0,0,0,29,706,0,1412,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,1,,,,,,,,,,5,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T4,4,Dir.,1,,,,9,,,,,,,,,,4,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,2,,,,,,,,,2,3,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,11,,,,,,,,,1,8,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,1,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,2,,,,,,,,,,8,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,9,,,,,,,,,,12,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T5,5,Dir.,1,,,,3,,,,,,,,,,10,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,1,,,,,,,,,,11,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,1,,,,,,,,,,6,,,,,,,,,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Esq.,1,,,,2,,,,,,,,,5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,,,4,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,5,,,,,,,,,,4,,,,,,,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
