sample_name,fazenda,date,planta,tratamento,parcela,ramo,no,s1,s2,s3,s4,s5,s6,flor,star,chumb,fruto,rv
ffelipe_p1_t1_parc1_rDir_n1,felipe,2025-09-22,1,t1,1,Dir,1,0,2,2,1,0,2,0,0,0,0,0
ffelipe_p2_t1_parc1_rDir_n1,felipe,2025-09-22,2,t1,1,Dir,1,0,0,0,0,0,4,0,0,0,0,0
ffelipe_p3_t1_parc1_rDir_n1,felipe,2025-09-22,3,t1,1,Dir,1,0,0,0,0,0,6,0,0,0,0,0
ffelipe_p1_t1_parc1_rDir_n2,felipe,2025-09-22,1,t1,1,Dir,2,0,0,0,0,0,3,9,0,0,0,0
ffelipe_p2_t1_parc1_rDir_n2,felipe,2025-09-22,2,t1,1,Dir,2,0,0,0,0,0,6,0,0,0,0,0
ffelipe_p3_t1_parc1_rDir_n2,felipe,2025-09-22,3,t1,1,Dir,2,0,0,0,0,0,6,2,0,0,0,0
ffelipe_p1_t1_parc1_rDir_n3,felipe,2025-09-22,1,t1,1,Dir,3,0,0,0,0,0,1,30,0,0,0,0
ffelipe_p2_t1_parc1_rDir_n3,felipe,2025-09-22,2,t1,1,Dir,3,0,0,0,0,0,2,9,0,0,0,0
ffelipe_p3_t1_parc1_rDir_n3,felipe,2025-09-22,3,t1,1,Dir,3,0,0,0,0,0,1,28,0,0,0,0
ffelipe_p1_t1_parc1_rEsq_n1,felipe,2025-09-22,1,t1,1,Esq,1,0,0,0,0,0,5,0,0,0,0,0
ffelipe_p2_t1_parc1_rEsq_n1,felipe,2025-09-22,2,t1,1,Esq,1,0,2,0,0,0,5,0,0,0,0,0
ffelipe_p3_t1_parc1_rEsq_n1,felipe,2025-09-22,3,t1,1,Esq,1,0,0,0,0,0,5,0,0,0,0,0
ffelipe_p1_t1_parc1_rEsq_n2,felipe,2025-09-22,1,t1,1,Esq,2,0,1,0,0,0,0,24,0,0,0,0
ffelipe_p2_t1_parc1_rEsq_n2,felipe,2025-09-22,2,t1,1,Esq,2,0,0,0,0,1,3,0,0,0,0,0
ffelipe_p3_t1_parc1_rEsq_n2,felipe,2025-09-22,3,t1,1,Esq,2,0,0,0,0,0,4,15,0,0,0,0
ffelipe_p1_t1_parc1_rEsq_n3,felipe,2025-09-22,1,t1,1,Esq,3,0,0,0,0,0,3,16,0,0,0,0
ffelipe_p2_t1_parc1_rEsq_n3,felipe,2025-09-22,2,t1,1,Esq,3,0,0,0,0,0,1,20,0,0,0,0
ffelipe_p3_t1_parc1_rEsq_n3,felipe,2025-09-22,3,t1,1,Esq,3,0,0,0,0,0,3,16,0,0,0,0
ffelipe_p1_t2_parc2_rDir_n1,felipe,2025-09-22,1,t2,2,Dir,1,0,4,3,1,0,0,0,0,0,0,0
ffelipe_p2_t2_parc2_rDir_n1,felipe,2025-09-22,2,t2,2,Dir,1,0,6,0,0,0,0,0,0,0,0,0
ffelipe_p3_t2_parc2_rDir_n1,felipe,2025-09-22,3,t2,2,Dir,1,1,2,3,1,0,0,0,0,0,0,0
ffelipe_p1_t2_parc2_rDir_n2,felipe,2025-09-22,1,t2,2,Dir,2,0,0,0,0,0,5,1,0,0,0,0
ffelipe_p2_t2_parc2_rDir_n2,felipe,2025-09-22,2,t2,2,Dir,2,0,0,0,0,0,3,5,0,0,0,0
ffelipe_p3_t2_parc2_rDir_n2,felipe,2025-09-22,3,t2,2,Dir,2,1,0,0,0,1,2,8,0,0,0,0
ffelipe_p1_t2_parc2_rDir_n3,felipe,2025-09-22,1,t2,2,Dir,3,0,0,0,0,0,4,10,0,0,0,0
ffelipe_p2_t2_parc2_rDir_n3,felipe,2025-09-22,2,t2,2,Dir,3,0,0,0,0,0,6,0,0,0,0,0
ffelipe_p3_t2_parc2_rDir_n3,felipe,2025-09-22,3,t2,2,Dir,3,0,0,0,0,0,3,12,0,0,0,0
ffelipe_p1_t2_parc2_rEsq_n1,felipe,2025-09-22,1,t2,2,Esq,1,1,3,2,0,0,0,3,0,0,0,0
ffelipe_p2_t2_parc2_rEsq_n1,felipe,2025-09-22,2,t2,2,Esq,1,0,2,2,3,0,0,0,0,0,0,0
ffelipe_p3_t2_parc2_rEsq_n1,felipe,2025-09-22,3,t2,2,Esq,1,0,3,0,0,0,3,0,0,0,0,0
ffelipe_p1_t2_parc2_rEsq_n2,felipe,2025-09-22,1,t2,2,Esq,2,0,1,0,0,0,2,11,0,0,0,0
ffelipe_p2_t2_parc2_rEsq_n2,felipe,2025-09-22,2,t2,2,Esq,2,0,0,0,0,0,4,15,0,0,0,0
ffelipe_p3_t2_parc2_rEsq_n2,felipe,2025-09-22,3,t2,2,Esq,2,0,0,0,0,0,6,0,0,0,0,0
ffelipe_p1_t2_parc2_rEsq_n3,felipe,2025-09-22,1,t2,2,Esq,3,0,0,0,0,0,1,16,0,0,0,0
ffelipe_p2_t2_parc2_rEsq_n3,felipe,2025-09-22,2,t2,2,Esq,3,0,0,0,0,0,0,34,0,0,0,0
ffelipe_p3_t2_parc2_rEsq_n3,felipe,2025-09-22,3,t2,2,Esq,3,0,0,0,0,0,2,22,0,0,0,0
ffelipe_p1_t3_parc3_rDir_n1,felipe,2025-09-22,1,t3,3,Dir,1,0,3,4,0,0,0,0,0,0,0,0
ffelipe_p2_t3_parc3_rDir_n1,felipe,2025-09-22,2,t3,3,Dir,1,0,2,5,0,0,0,0,0,0,0,0
ffelipe_p3_t3_parc3_rDir_n1,felipe,2025-09-22,3,t3,3,Dir,1,0,0,2,0,0,0,8,0,0,0,0
ffelipe_p1_t3_parc3_rDir_n2,felipe,2025-09-22,1,t3,3,Dir,2,0,0,0,1,1,0,9,0,0,0,0
ffelipe_p2_t3_parc3_rDir_n2,felipe,2025-09-22,2,t3,3,Dir,2,0,0,0,0,0,0,15,0,0,0,0
ffelipe_p3_t3_parc3_rDir_n2,felipe,2025-09-22,3,t3,3,Dir,2,0,0,1,0,0,0,14,0,0,0,0
