sample_name,fazenda,date,planta,tratamento,bloco,ramo,no,s1_flor_gemas,s1_flor_star,s1_flor_chumb,fruto_verde,fruto_parcial,fruto_vermelho,fruto_passa,fruto_secos,rv
ffelipe_p1_t1_parc1_rDir_n1,felipe,2026-01-20,1,t1,1,Dir,1,0,0,0,15,0,0,0,0,0
ffelipe_p2_t1_parc1_rDir_n1,felipe,2026-01-20,2,t1,1,Dir,1,0,0,0,22,0,0,0,0,0
ffelipe_p3_t1_parc1_rDir_n1,felipe,2026-01-20,3,t1,1,Dir,1,0,0,0,10,0,0,0,0,0
ffelipe_p1_t1_parc1_rDir_n2,felipe,2026-01-20,1,t1,1,Dir,2,0,0,0,12,0,0,0,0,0
ffelipe_p2_t1_parc1_rDir_n2,felipe,2026-01-20,2,t1,1,Dir,2,0,0,0,17,0,0,0,0,0
ffelipe_p3_t1_parc1_rDir_n2,felipe,2026-01-20,3,t1,1,Dir,2,0,0,0,7,0,0,0,0,0
ffelipe_p1_t1_parc1_rDir_n3,felipe,2026-01-20,1,t1,1,Dir,3,0,0,0,16,0,0,0,0,0
ffelipe_p2_t1_parc1_rDir_n3,felipe,2026-01-20,2,t1,1,Dir,3,0,0,0,13,0,0,0,0,0
ffelipe_p3_t1_parc1_rDir_n3,felipe,2026-01-20,3,t1,1,Dir,3,0,0,0,10,0,0,0,0,0
ffelipe_p1_t1_parc1_rEsq_n1,felipe,2026-01-20,1,t1,1,Esq,1,0,0,0,11,0,0,0,0,0
ffelipe_p2_t1_parc1_rEsq_n1,felipe,2026-01-20,2,t1,1,Esq,1,0,0,0,14,0,0,0,0,0
ffelipe_p3_t1_parc1_rEsq_n1,felipe,2026-01-20,3,t1,1,Esq,1,0,0,0,15,0,0,0,0,0
ffelipe_p1_t1_parc1_rEsq_n2,felipe,2026-01-20,1,t1,1,Esq,2,0,0,0,8,0,0,0,0,0
ffelipe_p2_t1_parc1_rEsq_n2,felipe,2026-01-20,2,t1,1,Esq,2,0,0,0,7,0,0,0,0,0
