sample_name,fazenda,date,planta,tratamento,parcela,ramo,no,s1,s2,s3,s4,s5,s6,flor,star,chumb,fruto,rv
fvicente_p1_t1_parc1_rDir_n1,vicente,2025-11-14,1,t1,1,Dir,1,0,0,0,1,0,1,3,0,16,0,0
fvicente_p2_t1_parc1_rDir_n1,vicente,2025-11-14,2,t1,1,Dir,1,0,0,0,0,0,2,1,0,36,0,0
fvicente_p3_t1_parc1_rDir_n1,vicente,2025-11-14,3,t1,1,Dir,1,0,0,0,0,0,0,0,0,38,0,0
fvicente_p1_t1_parc1_rDir_n2,vicente,2025-11-14,1,t1,1,Dir,2,0,0,0,2,0,0,0,0,44,0,0
fvicente_p2_t1_parc1_rDir_n2,vicente,2025-11-14,2,t1,1,Dir,2,0,0,0,0,0,1,0,0,45,0,0
fvicente_p3_t1_parc1_rDir_n2,vicente,2025-11-14,3,t1,1,Dir,2,0,0,0,0,0,0,0,0,52,0,0
fvicente_p1_t1_parc1_rDir_n3,vicente,2025-11-14,1,t1,1,Dir,3,0,0,0,0,0,0,0,0,45,0,0
fvicente_p2_t1_parc1_rDir_n3,vicente,2025-11-14,2,t1,1,Dir,3,0,0,0,0,0,0,0,0,45,0,0
fvicente_p3_t1_parc1_rDir_n3,vicente,2025-11-14,3,t1,1,Dir,3,0,0,0,0,0,0,0,0,47,0,0
fvicente_p1_t1_parc1_rEsq_n1,vicente,2025-11-14,1,t1,1,Esq,1,0,0,0,3,0,0,0,0,43,0,0
fvicente_p2_t1_parc1_rEsq_n1,vicente,2025-11-14,2,t1,1,Esq,1,0,0,0,0,0,0,0,0,45,0,0
fvicente_p3_t1_parc1_rEsq_n1,vicente,2025-11-14,3,t1,1,Esq,1,0,0,0,0,0,0,0,4,30,0,0
fvicente_p1_t1_parc1_rEsq_n2,vicente,2025-11-14,1,t1,1,Esq,2,0,0,0,0,0,0,0,0,30,0,0
fvicente_p2_t1_parc1_rEsq_n2,vicente,2025-11-14,2,t1,1,Esq,2,0,0,0,0,0,0,0,0,42,0,0
fvicente_p3_t1_parc1_rEsq_n2,vicente,2025-11-14,3,t1,1,Esq,2,0,0,0,0,0,0,0,0,40,0,0
fvicente_p1_t1_parc1_rEsq_n3,vicente,2025-11-14,1,t1,1,Esq,3,0,0,0,0,0,0,0,0,36,0,0
fvicente_p2_t1_parc1_rEsq_n3,vicente,2025-11-14,2,t1,1,Esq,3,0,0,0,0,0,0,0,0,36,0,0
fvicente_p3_t1_parc1_rEsq_n3,vicente,2025-11-14,3,t1,1,Esq,3,0,0,0,0,0,0,0,0,30,0,0
fvicente_p1_t2_parc2_rDir_n1,vicente,2025-11-14,1,t2,2,Dir,1,0,0,0,0,0,0,0,0,65,0,0
fvicente_p2_t2_parc2_rDir_n1,vicente,2025-11-14,2,t2,2,Dir,1,0,0,0,0,0,0,0,0,17,0,0
fvicente_p3_t2_parc2_rDir_n1,vicente,2025-11-14,3,t2,2,Dir,1,0,0,0,0,0,0,0,0,56,0,0
fvicente_p1_t2_parc2_rDir_n2,vicente,2025-11-14,1,t2,2,Dir,2,0,0,0,0,0,0,0,0,44,0,0
fvicente_p2_t2_parc2_rDir_n2,vicente,2025-11-14,2,t2,2,Dir,2,0,0,0,0,0,0,0,0,28,0,0
fvicente_p3_t2_parc2_rDir_n2,vicente,2025-11-14,3,t2,2,Dir,2,0,0,0,0,0,0,0,0,60,0,0
fvicente_p1_t2_parc2_rDir_n3,vicente,2025-11-14,1,t2,2,Dir,3,0,0,0,0,0,0,0,0,60,0,0
fvicente_p2_t2_parc2_rDir_n3,vicente,2025-11-14,2,t2,2,Dir,3,0,0,0,0,0,0,0,0,16,0,0
fvicente_p3_t2_parc2_rDir_n3,vicente,2025-11-14,3,t2,2,Dir,3,0,0,0,0,0,0,0,0,57,0,0
fvicente_p1_t2_parc2_rEsq_n1,vicente,2025-11-14,1,t2,2,Esq,1,0,0,0,0,0,0,0,0,50,0,0
fvicente_p2_t2_parc2_rEsq_n1,vicente,2025-11-14,2,t2,2,Esq,1,0,0,0,0,0,0,0,0,24,0,0
fvicente_p3_t2_parc2_rEsq_n1,vicente,2025-11-14,3,t2,2,Esq,1,0,0,0,0,0,0,0,0,50,0,0
fvicente_p1_t2_parc2_rEsq_n2,vicente,2025-11-14,1,t2,2,Esq,2,0,0,0,0,0,0,0,0,45,0,0
fvicente_p2_t2_parc2_rEsq_n2,vicente,2025-11-14,2,t2,2,Esq,2,0,0,0,0,0,0,0,0,8,0,0
fvicente_p3_t2_parc2_rEsq_n2,vicente,2025-11-14,3,t2,2,Esq,2,0,0,0,0,0,0,0,0,45,0,0
fvicente_p1_t2_parc2_rEsq_n3,vicente,2025-11-14,1,t2,2,Esq,3,0,0,0,0,0,0,0,0,50,0,0
fvicente_p2_t2_parc2_rEsq_n3,vicente,2025-11-14,2,t2,2,Esq,3,0,0,0,0,0,0,0,0,9,0,0
fvicente_p3_t2_parc2_rEsq_n3,vicente,2025-11-14,3,t2,2,Esq,3,0,0,0,0,0,0,0,0,54,0,0
fvicente_p1_t3_parc3_rDir_n1,vicente,2025-11-14,1,t3,3,Dir,1,0,0,0,0,0,0,0,0,63,0,0
fvicente_p2_t3_parc3_rDir_n1,vicente,2025-11-14,2,t3,3,Dir,1,0,0,0,0,0,0,0,0,32,0,0
fvicente_p3_t3_parc3_rDir_n1,vicente,2025-11-14,3,t3,3,Dir,1,0,0,0,0,0,0,0,0,63,0,0
fvicente_p1_t3_parc3_rDir_n2,vicente,2025-11-14,1,t3,3,Dir,2,0,0,0,0,0,0,0,0,63,3,0
fvicente_p2_t3_parc3_rDir_n2,vicente,2025-11-14,2,t3,3,Dir,2,0,0,0,0,0,0,0,0,49,0,0
fvicente_p3_t3_parc3_rDir_n2,vicente,2025-11-14,3,t3,3,Dir,2,0,0,0,0,0,0,0,0,56,0,0
fvicente_p1_t3_parc3_rDir_n3,vicente,2025-11-14,1,t3,3,Dir,3,0,0,0,0,0,0,0,0,49,0,0
fvicente_p2_t3_parc3_rDir_n3,vicente,2025-11-14,2,t3,3,Dir,3,0,0,0,0,0,0,0,0,49,0,0
fvicente_p3_t3_parc3_rDir_n3,vicente,2025-11-14,3,t3,3,Dir,3,0,0,0,0,0,0,0,0,49,0,0
fvicente_p1_t3_parc3_rEsq_n1,vicente,2025-11-14,1,t3,3,Esq,1,0,0,0,0,0,0,0,0,30,0,0
fvicente_p2_t3_parc3_rEsq_n1,vicente,2025-11-14,2,t3,3,Esq,1,0,0,0,0,0,0,0,0,30,0,0
fvicente_p3_t3_parc3_rEsq_n1,vicente,2025-11-14,3,t3,3,Esq,1,0,0,0,0,0,0,0,0,39,0,0
fvicente_p1_t3_parc3_rEsq_n2,vicente,2025-11-14,1,t3,3,Esq,2,0,0,0,0,0,0,0,0,40,0,0
fvicente_p2_t3_parc3_rEsq_n2,vicente,2025-11-14,2,t3,3,Esq,2,0,0,0,0,0,0,0,0,34,0,0
fvicente_p3_t3_parc3_rEsq_n2,vicente,2025-11-14,3,t3,3,Esq,2,0,0,0,0,0,0,0,0,35,0,0
fvicente_p1_t3_parc3_rEsq_n3,vicente,2025-11-14,1,t3,3,Esq,3,0,0,0,0,0,0,0,0,35,0,0
fvicente_p2_t3_parc3_rEsq_n3,vicente,2025-11-14,2,t3,3,Esq,3,0,0,0,0,0,0,0,0,35,0,0
fvicente_p3_t3_parc3_rEsq_n3,vicente,2025-11-14,3,t3,3,Esq,3,0,0,0,0,0,0,0,0,32,0,0
fvicente_p1_t4_parc4_rDir_n1,vicente,2025-11-14,1,t4,4,Dir,1,0,0,0,0,0,0,0,0,42,0,0
fvicente_p2_t4_parc4_rDir_n1,vicente,2025-11-14,2,t4,4,Dir,1,0,0,0,0,0,0,0,0,42,0,0
fvicente_p3_t4_parc4_rDir_n1,vicente,2025-11-14,3,t4,4,Dir,1,0,0,0,0,0,0,0,0,45,0,0
fvicente_p1_t4_parc4_rDir_n2,vicente,2025-11-14,1,t4,4,Dir,2,0,0,0,0,0,0,0,0,28,0,0
fvicente_p2_t4_parc4_rDir_n2,vicente,2025-11-14,2,t4,4,Dir,2,0,0,0,0,0,0,0,0,30,0,0
