sample_name,fazenda,date,planta,tratamento,bloco,ramo,no,s1_flor_gemas,s1_flor_star,s1_flor_chumb,fruto_verde,fruto_parcial,fruto_vermelho,fruto_passa,fruto_secos,rv
fvicente_p1_t1_parc1_rDir_n1,vicente,2026-01-13,1,t1,1,Dir,1,0,0,32,0,0,0,0,0,0
fvicente_p2_t1_parc1_rDir_n1,vicente,2026-01-13,2,t1,1,Dir,1,6,3,9,8,0,0,0,0,0
fvicente_p3_t1_parc1_rDir_n1,vicente,2026-01-13,3,t1,1,Dir,1,1,0,33,6,0,0,0,0,0
fvicente_p1_t1_parc1_rDir_n2,vicente,2026-01-13,1,t1,1,Dir,2,0,0,31,0,0,0,0,0,0
fvicente_p2_t1_parc1_rDir_n2,vicente,2026-01-13,2,t1,1,Dir,2,1,0,8,17,0,0,0,0,0
fvicente_p3_t1_parc1_rDir_n2,vicente,2026-01-13,3,t1,1,Dir,2,0,0,0,22,0,0,0,0,0
fvicente_p1_t1_parc1_rDir_n3,vicente,2026-01-13,1,t1,1,Dir,3,0,0,0,21,0,0,0,0,0
fvicente_p2_t1_parc1_rDir_n3,vicente,2026-01-13,2,t1,1,Dir,3,0,0,14,7,0,0,0,0,0
fvicente_p3_t1_parc1_rDir_n3,vicente,2026-01-13,3,t1,1,Dir,3,0,0,6,9,0,0,0,0,0
fvicente_p1_t1_parc1_rEsq_n1,vicente,2026-01-13,1,t1,1,Esq,1,0,0,30,0,0,0,0,0,0
fvicente_p2_t1_parc1_rEsq_n1,vicente,2026-01-13,2,t1,1,Esq,1,0,0,29,0,0,0,0,0,0
fvicente_p3_t1_parc1_rEsq_n1,vicente,2026-01-13,3,t1,1,Esq,1,0,0,18,2,0,0,0,0,0
fvicente_p1_t1_parc1_rEsq_n2,vicente,2026-01-13,1,t1,1,Esq,2,0,0,18,1,0,0,0,0,0
fvicente_p2_t1_parc1_rEsq_n2,vicente,2026-01-13,2,t1,1,Esq,2,0,0,21,7,0,0,0,0,0
fvicente_p3_t1_parc1_rEsq_n2,vicente,2026-01-13,3,t1,1,Esq,2,0,0,5,18,0,0,0,0,0
fvicente_p1_t1_parc1_rEsq_n3,vicente,2026-01-13,1,t1,1,Esq,3,0,0,0,25,0,0,0,0,0
fvicente_p2_t1_parc1_rEsq_n3,vicente,2026-01-13,2,t1,1,Esq,3,0,0,0,20,0,0,0,0,0
